BOUTIQUE_CODE;CUSTOMER_CODE_XY;CUSTOMER_CODE_CRM;CUSTOMER_COUNTRY;SALESMAN_CODE;SOURCE;RECEIPT_CODE;TILL_SHORT_DESC;TRANSACTION_DATE;CURRENCY;POSITION;TRANSACTION_TYPE;PRODUCT_CODE;ID_NUMBER;QTY;UNIT_PRICE_LIST_VALUE;ROW_PAID_VALUE
90006761;A7450940-DEF6-ED11-80FD-000D3A2436CD;A7450940-DEF6-ED11-80FD-000D3A2436CD;SAU;RP_15975;RP;-9137020000000000000;1;20230519;AED;1;0;20058801;72757753;1;24670.00;24670.00
90006761;9BDFBE23-03D4-E711-80D0-000D3A239D68;9BDFBE23-03D4-E711-80D0-000D3A239D68;ARE;RP_2559;RP;1746470000000000000;1;20171127;AED;2;0;20058585;72844646;1;11990.00;10551.00
90006761;BBEB6C45-531E-EA11-80E1-000D3A239D68;BBEB6C45-531E-EA11-80E1-000D3A239D68;ETH;RP_2558;RP;4570070000000000000;1;20191213;AED;1;0;20038911;72136952;1;18100.00;15700.00
90006761;03E25D1D-17DE-ED11-80FC-000D3A2436CD;03E25D1D-17DE-ED11-80FC-000D3A2436CD;RUS;RP_15974;RP;9087320000000000000;1;20230321;AED;1;0;20055872;73573637;1;5240.00;5240.00
90006761;F525F38C-3311-EF11-8105-000D3A2436CD;F525F38C-3311-EF11-8105-000D3A2436CD;KAZ;RP_15974;RP;-7783160000000000000;1;20240512;AED;1;0;20055872;73816877;1;5380.00;5380.00
90006761;9FCF82AD-A14F-EE11-80FF-000D3A2436CD;9FCF82AD-A14F-EE11-80FF-000D3A2436CD;UKR;RP_12140;RP;-8714730000000000000;1;20230909;AED;1;0;20055872;73462807;1;5380.00;5380.00
90006761;8FF241A1-7281-E711-80D0-000D3A239D68;8FF241A1-7281-E711-80D0-000D3A239D68;CHN;RP_2560;RP;1353170000000000000;1;20170814;AED;2;0;20028823;71979626;1;61100.00;55240.00
90006761;76181903-4161-E711-80CF-000D3A239D68;76181903-4161-E711-80CF-000D3A239D68;ARE;RP_2557;RP;4688400000000000000;1;20200114;AED;1;0;20028823;71993474;1;61100.00;61100.00
90006761;50631036-E7E4-E911-80DF-000D3A239D68;50631036-E7E4-E911-80DF-000D3A239D68;SAU;RP_9558;RP;4288670000000000000;1;20190930;AED;2;0;20037118;72168810;1;17200.00;13953.00
90006761;C1F5DE38-BF85-ED11-80FA-000D3A2436CD;C1F5DE38-BF85-ED11-80FA-000D3A2436CD;KWT;RP_15975;RP;8759450000000000000;1;20221226;AED;1;0;30017910;73454489;1;914900.00;823000.00
90006761;684F068A-3A51-E911-80D9-000D3A239D68;684F068A-3A51-E911-80D9-000D3A239D68;RUS;RP_2561;RP;3587880000000000000;1;20190327;AED;1;0;20000850;71278250;1;32000.00;25280.00
