storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1609146000;RPB0502-TEST6006920000000000000;Sale;2;;Closed;XXXXX;73435715;Sale;73435715;AED;1397000;20088485;1;CarryOut;73435715;1117600;279400;0;5910969A-C149-EB11-80E8-000D3A2436CD;5910969A-C149-EB11-80E8-000D3A2436CD
B0502-TEST;1700125200;RPB0502-TEST-8459340000000000000;Sale;1;;Closed;XXXXX;73736669;Sale;73736669;AED;776000;20088492;1;CarryOut;73736669;776000;0;0;2C125590-1F85-EE11-8101-000D3A2436CD;2C125590-1F85-EE11-8101-000D3A2436CD
B0502-TEST;1646557200;RPB0502-TEST7650400000000000000;Sale;1;;Closed;XXXXX;73556472;Sale;73556472;AED;698000;20088492;1;CarryOut;73556472;698000;0;0;2543E613-499D-EC11-80F3-000D3A2436CD;2543E613-499D-EC11-80F3-000D3A2436CD
B0502-TEST;1677574800;RPB0502-TEST8996730000000000000;Sale;1;;Closed;XXXXX;73695969;Sale;73695969;AED;735000;20088492;1;CarryOut;73695969;690000;45000;0;A84C13D3-18DE-ED11-80FC-000D3A2436CD;A84C13D3-18DE-ED11-80FC-000D3A2436CD
B0502-TEST;1673600400;RPB0502-TEST8826610000000000000;Sale;1;;Closed;XXXXX;73560747;Sale;73560747;AED;735000;20088495;1;CarryOut;73560747;735000;0;0;37E785F5-E793-ED11-80FA-000D3A2436CD;37E785F5-E793-ED11-80FA-000D3A2436CD
B0502-TEST;1646211600;RPB0502-TEST7635250000000000000;Sale;1;;Closed;XXXXX;73557109;Sale;73557109;AED;698000;20088498;1;CarryOut;73557109;698000;0;0;A5D936D6-CE9A-EC11-80F3-000D3A2436CD;A5D936D6-CE9A-EC11-80F3-000D3A2436CD
B0502-TEST;1691658000;RPB0502-TEST-8825210000000000000;Sale;1;;Closed;XXXXX;73691494;Sale;73691494;AED;776000;20088498;1;CarryOut;73691494;776000;0;0;FFF5F8F0-1038-EE11-80FF-000D3A2436CD;FFF5F8F0-1038-EE11-80FF-000D3A2436CD
B0502-TEST;1678266000;RPB0502-TEST9038190000000000000;Sale;1;;Closed;XXXXX;73553674;Sale;73553674;AED;2953000;20088524;1;CarryOut;73553674;2717000;236000;0;18576F64-16DE-ED11-80FC-000D3A2436CD;18576F64-16DE-ED11-80FC-000D3A2436CD
B0502-TEST;1614934800;RPB0502-TEST6267010000000000000;Sale;1;;Closed;XXXXX;73415067;Sale;73415067;AED;3232000;81087856;1;CarryOut;73415067;3232000;0;0;82BD76DF-7FB1-E311-93FB-005056AE3E49;82BD76DF-7FB1-E311-93FB-005056AE3E49
B0502-TEST;1613293200;RPB0502-TEST6184680000000000000;Sale;1;;Closed;XXXXX;73413794;Sale;73413794;AED;3637000;81087857;1;CarryOut;73413794;3637000;0;0;82BD76DF-7FB1-E311-93FB-005056AE3E49;82BD76DF-7FB1-E311-93FB-005056AE3E49
